dr inz. ,Choroś,Kazimierz,sb,13.15,15.00,,Projektowanie i zarządzanie systemami informacyjnymi,A-1,329,w
dr inz. ,Choroś,Kazimierz,wt,13.00,15.00,n,,A-1,203c,k
dr inz. ,Choroś,Kazimierz,wt,11.00,13.00,p,,A-2,203c,k
dr inz. ,Choroś,Kazimierz,czw,13.00,15.00,,,A-3,203c,k
dr inz.,Chudzik,Krzysztof,pn,7.30,9.00,n,Administrowanie serwerami Linux,D-1,29,w
dr inz.,Chudzik,Krzysztof,pn,9.15,11.00,,Administrowanie serwerami Linux,D-2,333b,l
dr inz.,Chudzik,Krzysztof,wt,7.30,9.00,,Administrowanie serwerami Linux,D-3,333b,l
dr inz.,Chudzik,Krzysztof,wt,9.15,11.00,,Administrowanie serwerami Linux,D-4,333b,l
dr inz.,Chudzik,Krzysztof,czw,7.30,9.00,,Administrowanie serwerami Linux,D-5,333b,l
dr inz.,Chudzik,Krzysztof,czw,9.15,11.00,,Administrowanie serwerami Linux,D-6,333b,l
dr inz.,Chudzik,Krzysztof,czw,11.15,13.00,,Administrowanie serwerami Linux,D-7,333b,l
dr inz.,Chudzik,Krzysztof,sb,8.15,9.00,,Zarządzanie bezpieczeństwem system,B-4,228,s
dr inz.,Chudzik,Krzysztof,sb,10.15,11.00,,Zarządzanie bezpieczeństwem system,B-5,228,s
dr inz.,Chudzik,Krzysztof,sb,11.15,13.00,p,Zarządzanie bezpieczeństwem system,B-6,228,w
dr inz.,Chudzik,Krzysztof,ndz,7.30,9.00,,Kryptografia,C-6,22,w
dr inz.,Chudzik,Krzysztof,ndz,11.15,13.00,,Kryptografia,D-2,333b,l
dr inz.,Drapała,Jarosław,pn,7.30,9.00,,Modelowanie i analiza systemów,C-3,22,w
dr inz.,Drapała,Jarosław,pn,9.15,11.00,n,Modelowanie i analiza systemów,B-4,227,c
dr inz.,Drapała,Jarosław,pn,17.05,18.45,,Modele systemów dynamicznych,B-4,445,l
dr inz.,Drapała,Jarosław,pn,18.55,20.35,,Modele systemów dynamicznych,B-4,445,l
dr inz.,Drapała,Jarosław,wt,11.15,13.00,,Wstęp do programowania,D-2,333b,l
dr inz.,Drapała,Jarosław,wt,13.15,15.00,,Wstęp do programowania,D-2,333b,l
dr inz.,Drapała,Jarosław,sr,9.15,11.00,,Modele systemów dynamicznych,D-1,312a,c
dr inz.,Drapała,Jarosław,sr,15.15,16.55,,Identyfikacja systemów,D-2,333b,l
